Dealer_ID,Product_ID,Date,Quantity,Consumption,Location
D000,P000,2022-01-01,62.0,8.0,Chicago
D000,P000,2022-01-02,70.0,9.0,Chicago
D000,P000,2022-01-03,12.0,17.0,Los Angeles
D000,P000,2022-01-04,74.0,13.0,Los Angeles
D000,P000,2022-01-05,57.0,10.0,Los Angeles
D000,P000,2022-01-06,29.0,12.0,Los Angeles
D000,P000,2022-01-07,21.0,14.0,New York
D000,P000,2022-01-08,54.0,15.0,New York
D000,P000,2022-01-09,48.0,10.0,New York
D000,P000,2022-01-10,33.0,19.0,New York
D000,P000,2022-01-11,79.0,11.0,New York
D000,P000,2022-01-12,82.0,14.0,Los Angeles
D000,P000,2022-01-13,61.0,6.0,New York
D000,P000,2022-01-14,30.0,5.0,Los Angeles
D000,P000,2022-01-15,83.0,8.0,Chicago
D000,P000,2022-01-16,66.0,16.0,Los Angeles
D000,P000,2022-01-17,61.0,10.0,Los Angeles
D000,P000,2022-01-18,72.0,17.0,Los Angeles
D000,P000,2022-01-19,18.0,5.0,Los Angeles
D000,P000,2022-01-20,42.0,17.0,New York
D000,P000,2022-01-21,64.0,13.0,Chicago
D000,P000,2022-01-22,29.0,12.0,Los Angeles
D000,P000,2022-01-23,29.0,17.0,Chicago
D000,P000,2022-01-24,94.0,12.0,Chicago
D000,P000,2022-01-25,66.0,7.0,Chicago
D000,P000,2022-01-26,86.0,15.0,Los Angeles
D000,P000,2022-01-27,86.0,5.0,Chicago
D000,P000,2022-01-28,45.0,9.0,Chicago
D000,P000,2022-01-29,69.0,12.0,Chicago
D000,P000,2022-01-30,74.0,12.0,Los Angeles
D000,P000,2022-02-01,71.0,8.0,Los Angeles
D000,P000,2022-02-02,14.0,9.0,Chicago
D000,P000,2022-02-03,94.0,7.0,New York
D000,P000,2022-02-04,42.0,9.0,Chicago
D000,P000,2022-02-05,20.0,11.0,Los Angeles
D000,P000,2022-02-06,30.0,5.0,Los Angeles
D000,P000,2022-02-07,28.0,16.0,Chicago
D000,P000,2022-02-08,91.0,19.0,Chicago
D000,P000,2022-02-09,25.0,6.0,Chicago
D000,P000,2022-02-10,90.0,15.0,New York
D000,P000,2022-02-11,98.0,9.0,New York
D000,P000,2022-02-12,58.0,15.0,New York
D000,P000,2022-02-13,46.0,7.0,Chicago
D000,P000,2022-02-14,53.0,19.0,Chicago
D000,P000,2022-02-15,94.0,13.0,Los Angeles
D000,P000,2022-02-16,16.0,12.0,Los Angeles
D000,P000,2022-02-17,49.0,5.0,Los Angeles
D000,P000,2022-02-18,79.0,10.0,New York
D000,P000,2022-02-19,99.0,5.0,Chicago
D000,P000,2022-02-20,94.0,9.0,Chicago
D000,P000,2022-02-21,96.0,6.0,Chicago
D000,P000,2022-02-22,26.0,10.0,Chicago
D000,P000,2022-02-23,20.0,5.0,Chicago
D000,P000,2022-02-24,49.0,11.0,Chicago
D000,P000,2022-02-25,65.0,10.0,New York
D000,P000,2022-02-26,16.0,7.0,Los Angeles
D000,P000,2022-02-27,91.0,14.0,Chicago
D000,P000,2022-02-28,87.0,8.0,Chicago
D000,P000,2022-02-29,93.0,7.0,New York
D000,P000,2022-02-30,51.0,12.0,New York
D000,P000,2022-03-01,23.0,5.0,Los Angeles
D000,P000,2022-03-02,12.0,8.0,New York
D000,P000,2022-03-03,55.0,11.0,New York
D000,P000,2022-03-04,57.0,18.0,New York
D000,P000,2022-03-05,48.0,14.0,Los Angeles
D000,P000,2022-03-06,44.0,5.0,New York
D000,P000,2022-03-07,39.0,12.0,New York
D000,P000,2022-03-08,98.0,5.0,Chicago
D000,P000,2022-03-09,11.0,11.0,New York
D000,P000,2022-03-10,74.0,7.0,Chicago
D000,P000,2022-03-11,92.0,7.0,Chicago
D000,P000,2022-03-12,22.0,6.0,New York
D000,P000,2022-03-13,53.0,9.0,Los Angeles
D000,P000,2022-03-14,87.0,12.0,Chicago
D000,P000,2022-03-15,60.0,12.0,Los Angeles
D000,P000,2022-03-16,28.0,10.0,Chicago
D000,P000,2022-03-17,31.0,19.0,Chicago
D000,P000,2022-03-18,18.0,11.0,New York
D000,P000,2022-03-19,77.0,5.0,Los Angeles
D000,P000,2022-03-20,58.0,8.0,New York
D000,P000,2022-03-21,79.0,9.0,Los Angeles
D000,P000,2022-03-22,69.0,11.0,Chicago
D000,P000,2022-03-23,17.0,7.0,New York
D000,P000,2022-03-24,10.0,17.0,Los Angeles
D000,P000,2022-03-25,67.0,10.0,Chicago
D000,P000,2022-03-26,78.0,7.0,Los Angeles
D000,P000,2022-03-27,31.0,5.0,New York
D000,P000,2022-03-28,49.0,17.0,Los Angeles
D000,P000,2022-03-29,37.0,11.0,New York
D000,P000,2022-03-30,86.0,18.0,New York
D000,P001,2022-01-01,10.0,14.0,Chicago
D000,P001,2022-01-02,39.0,9.0,Chicago
D000,P001,2022-01-03,61.0,14.0,New York
D000,P001,2022-01-04,94.0,6.0,Chicago
D000,P001,2022-01-05,40.0,6.0,Los Angeles
